"","Address","longitude","latitude","Type1","Type2","Type3","Value","Icon"
"114","110 MADISON AVENUE , New York",-73.9852904,40.7450383,"Rent","RR  -CONRENT",NA,49.46,"Rent"
"115","110 POST AVENUE , New York",-73.9206428,40.8647365,"Rent","D1  -ELEVATOR",NA,23.34,"Rent"
"116","110 WEST 109 STREET , New York",-73.9624599,40.80134,"Rent","C4  -WALK-UP",NA,26.26,"Rent"
"117","110 WEST 86 STREET , New York",-73.972764,40.7863999,"Rent","R4  -ELEVATOR",NA,36.72,"Rent"
"118","110 WEST 90 STREET , New York",-73.9712029,40.7892637,"Rent","R4  -ELEVATOR",NA,40.28,"Rent"
"119","111 CENTRAL PARK NORTH , New York",-73.9527897,40.7988707,"Rent","R4  -ELEVATOR",NA,37.96,"Rent"
"120","111 EAST 30 STREET , New York",-73.9825668,40.7444794,"Rent","R4  -ELEVATOR",NA,50.81,"Rent"
"121","111 EAST 7 STREET , New York",-73.9845181,40.7266306,"Rent","D9  -ELEVATOR",NA,52.3,"Rent"
"122","111 EAST 88 STREET , New York",-73.9551546,40.7812544,"Rent","R4  -ELEVATOR",NA,47.75,"Rent"
"123","111 FULTON STREET , New York",-74.0065609,40.7099264,"Rent","R4  -ELEVATOR",NA,45.79,"Rent"
"124","111 WEST 113 STREET , New York",-73.9518024,40.8006004,"Rent","R4  -ELEVATOR",NA,44.53,"Rent"
"125","111 WEST 28 STREET , New York",-73.9911014,40.7465183,"Rent","R4  -ELEVATOR",NA,38.63,"Rent"
"126","111 WILLIAM STREET , New York",-74.007332,40.709064,"Rent","R4  -ELEVATOR",NA,53.44,"Rent"
"127","1114 MADISON AVENUE , New York",-73.960385,40.779214,"Rent","R9  -CONDOPS",NA,46.26,"Rent"
"128","1115 1 AVENUE , New York",-73.9611241,40.7611159,"Rent","RR  -CONRENT",NA,25.64,"Rent"
"129","112 EAST 17 STREET , New York",-73.9881222,40.7359644,"Rent","D1  -ELEVATOR",NA,45.06,"Rent"
"130","112 RIVINGTON STREET , New York",-73.9877204,40.720036,"Rent","R4  -ELEVATOR",NA,41.77,"Rent"
"131","112 SULLIVAN STREET , New York",NA,NA,"Rent","D1  -ELEVATOR",NA,39.5618181818182,"Rent"
"132","112 WEST 138 STREET , New York",-73.9405104,40.8164003,"Rent","D1  -ELEVATOR",NA,31.675,"Rent"
"133","112 WEST 72 STREET , New York",-73.9793528,40.7773257,"Rent","R4  -ELEVATOR",NA,43.93,"Rent"
"134","112 WEST HOUSTON STREET , New York",-74.0006557,40.7277034,"Rent","C4  -WALK-UP",NA,37.025,"Rent"
"135","113 ELDRIDGE STREET , New York",-73.9922083,40.7183574,"Rent","R4  -ELEVATOR",NA,48.75,"Rent"
"136","113 NASSAU STREET , New York",NA,NA,"Rent","D7  -ELEVATOR",NA,55.72,"Rent"
"137","1130 3 AVENUE , New York",-73.963458,40.766373,"Rent","D6  -ELEVATOR",NA,47.6928571428571,"Rent"
"138","114 EAST 13 STREET , New York",-73.9891782,40.7330256,"Rent","R4  -ELEVATOR",NA,42.72,"Rent"
"139","114 EAST 27 STREET , New York",-73.9839442,40.742243,"Rent","R4  -ELEVATOR",NA,46.29,"Rent"
"140","114 GREENE STREET , New York",-73.9993166,40.7247485,"Rent","R4  -ELEVATOR",NA,34.65,"Rent"
"141","114 WEST 16 STREET , New York",-73.9967534,40.7388103,"Rent","D1  -ELEVATOR",NA,44.7916666666667,"Rent"
"142","114 WEST 86 STREET , New York",-73.9730625,40.7865002,"Rent","D3  -ELEVATOR",NA,44.3266666666667,"Rent"
"143","115 4 AVENUE , New York",-73.9897661,40.7328931,"Rent","R4  -ELEVATOR",NA,38.9,"Rent"
"144","115 DELANCEY STREET , New York",-73.9881462,40.7182566,"Rent","RR  -CONRENT",NA,42.23,"Rent"
"145","115 EAST 119 STREET , New York",-73.9409648,40.8010629,"Rent","D9  -ELEVATOR",NA,34.64,"Rent"
"146","115 EAST 12 STREET , New York",-73.9889692,40.7323313,"Rent","D5  -ELEVATOR",NA,39.0875,"Rent"
"147","115 EAST 71 STREET , New York",-73.9636207,40.7702354,"Rent","D1  -ELEVATOR",NA,49.67,"Rent"
"148","115 EAST 82 STREET , New York",-73.9580934,40.7773906,"Rent","D3  -ELEVATOR",NA,53.375,"Rent"
"149","115 EAST 87 STREET , New York",-73.9556597,40.7807091,"Rent","R9  -CONDOPS",NA,43.33,"Rent"
